time,P,G(i),H_sun,T2m,WS10m,Int
20140724:1610,8544960.0,159.71,17.39,26.71,2.36,0.0
20140724:1710,1737880.0,38.01,6.5,26.78,2.1,0.0
20140724:1810,0.0,0.0,0.0,26.85,1.83,0.0
20140724:1910,0.0,0.0,0.0,26.62,1.41,0.0
20140724:2010,0.0,0.0,0.0,26.39,0.98,0.0
20140724:2110,0.0,0.0,0.0,26.16,0.55,0.0
20140724:2210,0.0,0.0,0.0,25.46,0.81,0.0
20140724:2310,0.0,0.0,0.0,24.77,1.07,0.0
20140725:0010,0.0,0.0,0.0,24.08,1.32,0.0
20140725:0110,0.0,0.0,0.0,23.55,1.57,0.0
20140725:0210,0.0,0.0,0.0,23.02,1.81,0.0
20140725:0310,0.0,0.0,0.0,22.49,2.06,0.0
20140725:0410,2497800.0,48.87,8.25,23.25,2.15,0.0
20140725:0510,11303120.0,188.49,19.23,24.01,2.24,0.0
20140725:0610,28096800.0,402.99,30.53,24.76,2.33,0.0
20140725:0710,44401960.0,626.2,41.83,25.13,1.96,0.0
20140725:0810,56812760.0,818.34,52.7,25.49,1.59,0.0
20140725:0910,63789120.0,942.86,62.23,25.85,1.21,0.0
20140725:1010,67747880.0,1002.95,68.25,25.92,1.62,0.0
20140725:1110,66879400.0,980.75,67.59,25.98,2.02,0.0
20140725:1210,64564680.0,933.8,60.71,26.05,2.43,0.0
20140725:1310,54804400.0,786.34,50.85,26.09,1.83,0.0
20140725:1410,41335600.0,590.39,39.86,26.12,1.23,0.0
20140725:1510,22670640.0,334.23,28.53,26.16,0.63,0.0
20140725:1610,8129120.0,133.44,17.27,25.91,1.22,0.0
20140725:1710,1631160.0,36.2,6.36,25.66,1.8,0.0
20140725:1810,0.0,0.0,0.0,25.4,2.39,0.0
20140725:1910,0.0,0.0,0.0,25.41,2.16,0.0
20140725:2010,0.0,0.0,0.0,25.41,1.94,0.0
20140725:2110,0.0,0.0,0.0,25.42,1.71,0.0
20140725:2210,0.0,0.0,0.0,24.98,1.65,0.0
