time,P,G(i),H_sun,T2m,WS10m,Int
20140110:1810,0.0,0.0,0.0,3.13,1.54,0.0
20140110:1910,0.0,0.0,0.0,2.71,1.62,0.0
20140110:2010,0.0,0.0,0.0,2.29,1.7,0.0
20140110:2110,0.0,0.0,0.0,1.87,1.78,0.0
20140110:2210,0.0,0.0,0.0,1.66,1.83,0.0
20140110:2310,0.0,0.0,0.0,1.45,1.88,0.0
20140111:0010,0.0,0.0,0.0,1.24,1.93,0.0
20140111:0110,0.0,0.0,0.0,1.02,1.65,0.0
20140111:0210,0.0,0.0,0.0,0.8,1.37,0.0
20140111:0310,0.0,0.0,0.0,0.58,1.09,0.0
20140111:0410,0.0,0.0,0.0,0.2,1.08,0.0
20140111:0510,0.0,0.0,0.0,-0.17,1.07,0.0
20140111:0610,0.0,0.0,0.0,-0.55,1.06,0.0
20140111:0710,37136240.0,378.75,10.89,2.12,0.75,0.0
20140111:0810,58905960.0,604.99,18.64,4.79,0.44,0.0
20140111:0910,70278600.0,745.94,24.35,7.46,0.12,0.0
20140111:1010,77391720.0,833.11,27.41,8.69,0.32,0.0
20140111:1110,77246720.0,832.93,27.43,9.92,0.52,0.0
20140111:1210,63011200.0,667.55,24.4,11.15,0.72,0.0
20140111:1310,47418480.0,495.26,18.73,10.94,0.85,0.0
20140111:1410,23553800.0,253.42,10.99,10.72,0.98,0.0
20140111:1510,0.0,0.0,0.0,10.51,1.12,0.0
20140111:1610,0.0,0.0,0.0,9.35,0.91,0.0
20140111:1710,0.0,0.0,0.0,8.2,0.69,0.0
20140111:1810,0.0,0.0,0.0,7.05,0.48,0.0
20140111:1910,0.0,0.0,0.0,6.04,0.49,0.0
20140111:2010,0.0,0.0,0.0,5.04,0.5,0.0
20140111:2110,0.0,0.0,0.0,4.04,0.51,0.0
20140111:2210,0.0,0.0,0.0,3.25,0.59,0.0
20140111:2310,0.0,0.0,0.0,2.47,0.68,0.0
20140112:0010,0.0,0.0,0.0,1.69,0.76,0.0
