time,P,G(i),H_sun,T2m,WS10m,Int
20140627:2110,0.0,0.0,0.0,22.76,0.26,0.0
20140627:2210,0.0,0.0,0.0,22.27,0.28,0.0
20140627:2310,0.0,0.0,0.0,21.78,0.29,0.0
20140628:0010,0.0,0.0,0.0,21.29,0.3,0.0
20140628:0110,0.0,0.0,0.0,20.93,0.61,0.0
20140628:0210,0.0,0.0,0.0,20.57,0.91,0.0
20140628:0310,0.0,0.0,0.0,20.21,1.21,0.0
20140628:0410,1475200.0,64.29,12.1,20.72,0.92,0.0
20140628:0510,6430400.0,237.97,22.96,21.23,0.63,0.0
20140628:0610,13546400.0,444.4,34.18,21.75,0.34,0.0
20140628:0710,19927600.0,652.71,45.46,22.83,0.53,0.0
20140628:0810,24749600.0,828.15,56.4,23.91,0.72,0.0
20140628:0910,23662800.0,794.19,66.07,24.99,0.91,0.0
20140628:1010,28044400.0,968.81,71.9,25.51,0.7,0.0
20140628:1110,26765200.0,926.4,70.04,26.03,0.49,0.0
20140628:1210,23986800.0,823.56,62.0,26.54,0.28,0.0
20140628:1310,18768400.0,627.7,51.58,26.64,0.45,0.0
20140628:1410,10483600.0,348.64,40.42,26.74,0.63,0.0
20140628:1510,9384800.0,320.95,29.12,26.84,0.8,0.0
20140628:1610,3666000.0,149.88,18.03,25.95,0.85,0.0
20140628:1710,864800.0,41.63,7.41,25.05,0.9,0.0
20140628:1810,0.0,0.0,0.0,24.16,0.95,0.0
20140628:1910,0.0,0.0,0.0,23.63,0.97,0.0
20140628:2010,0.0,0.0,0.0,23.11,0.99,0.0
20140628:2110,0.0,0.0,0.0,22.58,1.01,0.0
20140628:2210,0.0,0.0,0.0,22.11,1.05,0.0
20140628:2310,0.0,0.0,0.0,21.63,1.09,0.0
20140629:0010,0.0,0.0,0.0,21.15,1.13,0.0
20140629:0110,0.0,0.0,0.0,20.78,0.88,0.0
20140629:0210,0.0,0.0,0.0,20.41,0.63,0.0
20140629:0310,0.0,0.0,0.0,20.04,0.39,0.0
20140629:0410,1891600.0,75.61,12.03,20.86,0.46,0.0
20140629:0510,6378000.0,232.64,22.89,21.67,0.54,0.0
20140629:0610,13480400.0,442.48,34.11,22.49,0.62,0.0
20140629:0710,20126800.0,661.74,45.4,23.58,0.57,0.0
20140629:0810,24308800.0,819.49,56.34,24.67,0.51,0.0
20140629:0910,25362800.0,869.95,66.0,25.76,0.46,0.0
20140629:1010,28413600.0,990.82,71.85,26.25,0.59,0.0
20140629:1110,26968800.0,932.32,70.01,26.74,0.72,0.0
20140629:1210,25778800.0,882.58,62.0,27.23,0.86,0.0
20140629:1310,22614800.0,760.54,51.59,27.07,0.83,0.0
20140629:1410,17363200.0,576.41,40.43,26.91,0.81,0.0
20140629:1510,10370400.0,358.24,29.13,26.75,0.79,0.0
