time,P,G(i),H_sun,T2m,WS10m,Int
20140113:0910,25795200.0,786.92,24.61,5.86,0.43,0.0
20140113:1010,25973200.0,798.33,27.74,6.86,0.43,0.0
20140113:1110,28525600.0,891.71,27.82,7.85,0.43,0.0
20140113:1210,19198000.0,581.44,24.83,8.84,0.43,0.0
20140113:1310,14486800.0,432.85,19.17,7.87,0.64,0.0
20140113:1410,8550400.0,261.39,11.44,6.9,0.86,0.0
20140113:1510,0.0,0.0,0.0,5.93,1.08,0.0
20140113:1610,0.0,0.0,0.0,4.96,0.96,0.0
20140113:1710,0.0,0.0,0.0,3.98,0.84,0.0
20140113:1810,0.0,0.0,0.0,3.01,0.72,0.0
20140113:1910,0.0,0.0,0.0,2.44,0.79,0.0
20140113:2010,0.0,0.0,0.0,1.87,0.86,0.0
20140113:2110,0.0,0.0,0.0,1.3,0.94,0.0
20140113:2210,0.0,0.0,0.0,0.88,0.87,0.0
20140113:2310,0.0,0.0,0.0,0.46,0.81,0.0
20140114:0010,0.0,0.0,0.0,0.04,0.74,0.0
20140114:0110,0.0,0.0,0.0,0.03,0.82,0.0
20140114:0210,0.0,0.0,0.0,0.02,0.9,0.0
20140114:0310,0.0,0.0,0.0,0.02,0.98,0.0
20140114:0410,0.0,0.0,0.0,-0.08,0.87,0.0
20140114:0510,0.0,0.0,0.0,-0.17,0.77,0.0
20140114:0610,0.0,0.0,0.0,-0.26,0.66,0.0
20140114:0710,1572000.0,59.68,11.1,1.68,0.59,0.0
20140114:0810,12066800.0,353.25,18.94,3.62,0.51,1.0
20140114:0910,15686800.0,464.86,24.75,5.55,0.44,0.0
20140114:1010,23702800.0,713.46,27.91,6.46,0.95,0.0
20140114:1110,7873200.0,240.76,28.0,7.36,1.45,0.0
20140114:1210,13812000.0,409.54,25.02,8.26,1.96,0.0
20140114:1310,5548800.0,175.02,19.37,7.74,1.71,0.0
20140114:1410,3288800.0,111.19,11.63,7.21,1.47,0.0
20140114:1510,0.0,0.0,0.0,6.69,1.23,0.0
20140114:1610,0.0,0.0,0.0,5.98,1.17,0.0
20140114:1710,0.0,0.0,0.0,5.26,1.11,0.0
20140114:1810,0.0,0.0,0.0,4.55,1.05,0.0
20140114:1910,0.0,0.0,0.0,4.49,0.76,0.0
20140114:2010,0.0,0.0,0.0,4.42,0.48,0.0
20140114:2110,0.0,0.0,0.0,4.36,0.19,0.0
20140114:2210,0.0,0.0,0.0,4.45,0.21,0.0
20140114:2310,0.0,0.0,0.0,4.55,0.22,0.0
20140115:0010,0.0,0.0,0.0,4.65,0.23,0.0
20140115:0110,0.0,0.0,0.0,4.76,0.22,0.0
20140115:0210,0.0,0.0,0.0,4.87,0.2,0.0
20140115:0310,0.0,0.0,0.0,4.98,0.18,0.0
20140115:0410,0.0,0.0,0.0,5.09,0.13,0.0
20140115:0510,0.0,0.0,0.0,5.21,0.09,0.0
20140115:0610,0.0,0.0,0.0,5.32,0.04,0.0
20140115:0710,1762800.0,66.38,11.19,5.68,0.13,0.0
20140115:0810,1410400.0,55.81,19.06,6.04,0.22,0.0
20140115:0910,2780800.0,96.49,24.89,6.4,0.3,0.0
20140115:1010,3337600.0,112.57,28.08,6.51,0.45,0.0
20140115:1110,3436000.0,115.41,28.19,6.62,0.59,0.0
20140115:1210,3501200.0,117.3,25.22,6.72,0.73,0.0
20140115:1310,2260400.0,81.35,19.56,6.75,0.79,0.0
20140115:1410,1283200.0,52.03,11.82,6.77,0.85,0.0
20140115:1510,11200.0,6.34,2.58,6.79,0.91,0.0
20140115:1610,0.0,0.0,0.0,6.77,0.66,0.0
20140115:1710,0.0,0.0,0.0,6.74,0.41,0.0
20140115:1810,0.0,0.0,0.0,6.72,0.17,0.0
20140115:1910,0.0,0.0,0.0,6.74,0.26,0.0
20140115:2010,0.0,0.0,0.0,6.76,0.36,0.0
20140115:2110,0.0,0.0,0.0,6.78,0.46,0.0
20140115:2210,0.0,0.0,0.0,6.6,0.56,0.0
20140115:2310,0.0,0.0,0.0,6.42,0.67,0.0
20140116:0010,0.0,0.0,0.0,6.24,0.77,0.0
20140116:0110,0.0,0.0,0.0,6.28,0.75,0.0
20140116:0210,0.0,0.0,0.0,6.32,0.73,0.0
20140116:0310,0.0,0.0,0.0,6.37,0.7,0.0
